zipcode,rate
64148,245.2
67118,212.35
40813,
18229,231.48
51012,252.76
79168,243.68
54923,
67651,249.44
49448,221.63
27702,283.08
47387,326.98
50014,287.3
33608,268.49
06239,
54919,243.77
46706,
14846,
48872,
43343,
77052,243.72
07734,
95327,
12961,
26716,278.9
48435,
53181,306.56
52654,230.29
58703,297.93
91945,
52146,254.56
56097,
21777,
42330,
38849,285.69
77586,243.72
39745,265.73
03299,240.45
63359,
60094,209.95
15935,183.94
39845,325.64
48418,
28411,307.51
37333,219.29
75939,234.5
07184,
86313,292.9
61232,222.38
20047,
47452,
